POI_Query,POI_Categories,POI_Name,POI_Address,POI_Mean_Bayesian_Adj_Rating_Norm,POI_FSQ_Bayesian_Adj_Rating_Norm,POI_FSQ_Bayesian_Adj_Rating,POI_FSQ_Rating,POI_FSQ_Num_Ratings,POI_Yelp_Bayesian_Adj_Rating_Norm,POI_Yelp_Bayesian_Adj_Rating,POI_Yelp_Rating,POI_Yelp_Num_Ratings
Bars,"Asian Fusion, Sri Lankan, Wine Bars",1601 Bar & Kitchen,"1601 Howard St San Francisco, CA 94103",0.6328685583174646,,,,,0.6328685583174646,3.9466644625459653,4.0,274.0
Restaurants,"Breakfast & Brunch, Filipino, French",1608 Bistro,"1608 Bush St San Francisco, CA 94109",0.6329071048780135,,,,,0.6329071048780135,3.9467504521067567,4.0,275.0
Bars,Lounge,1750 Taylor,"1750 Taylor St, San Francisco, CA 94133",,,,,,,,,
Bars,"Bar, Theater",18th Amendment Speakeasy Dinner,"1630 Powell St, San Francisco, CA 94133",,,,,,,,,
Bars,"Sports Bar, Wings Joint",1920Bar,"1808 Clement St, San Francisco, CA 94121",0.6195193881970652,,,,,0.6195193881970652,3.9168851707171513,5.0,4.0
Restaurants,"Café, Coffee Shop, Restaurant",1951 Coffee Company,"2410 Channing Way, Berkeley, CA 94704",0.6316710452964818,0.6316710452964818,8.19603038379199,8.3,62.0,,,,
Bars,"Burger Joint, Cocktail Bar, Lounge",19th Street Station,"19TH St (Webster Street), Oakland, CA 94612",0.5444396007573662,0.5444396007573662,7.961902016422302,6.3,21.0,,,,
Bars,Pubs,19th Street Station,"339 19th St Oakland, CA 94612",0.6500088782685558,,,,,0.6500088782685558,3.984901040944407,4.5,54.0
Bars,"American Restaurant, New American Restaurant, Wine Bar",20 Spot,"3565 20th St (at Lexington St), San Francisco, CA 94110",0.7779202371855722,0.8269919076207467,8.720269720316034,9.0,354.0,0.7288485667503979,4.160776400222794,4.5,261.0
Bars,"American Restaurant, Hotel Bar",2050 Lobby Lounge & Bar,"2050 Gateway Pl (at Brokaw Rd.), San Jose, CA 95110",0.5370764214494547,0.5370764214494547,7.942139313200776,5.2,14.0,,,,
Restaurants,"American (Traditional), Sushi Bars",2050 Lobby Lounge And Bar,"2050 Gateway Pl San Jose, CA 95110",0.5834839077483771,,,,,0.5834839077483771,3.836497320476698,3.0,28.0
Restaurants,Restaurant,20Twenty Cheese Bar,"1389 Lincoln Ave (Minnesota), San Jose, CA 95125",0.6172714749761128,0.6032374412231513,8.119714860928674,7.9,32.0,0.6313055087290744,3.9431776158419556,4.0,236.0
Restaurants,"Asian Restaurant, Cantonese Restaurant, Ramen Restaurant",21 Taste House,"1109 Ocean Ave (Lee), San Francisco, CA 94112",0.6015267712315744,0.5671805938711777,8.022938625620199,6.3,14.0,0.6358729485919712,3.9533666480710012,4.0,363.0
Restaurants,American (Traditional),211 plaza cafe,"San Francisco, CA 94105",0.6153127185979408,,,,,0.6153127185979408,3.9075009437959367,5.0,1.0
"Bars, Restaurants","American Restaurant, Bar, Brewery",21st Amendment Brewery & Restaurant,"563 2nd St (at De Boom St), San Francisco, CA 94107",0.7337208177892904,0.7337208177892904,8.469931002432734,8.5,1823.0,,,,
Restaurants,Latin American,24th Street BART Tamale/Pupusa Lady,"24TH Street Mission Bart Station San Francisco, CA 94110",0.6154321249682585,,,,,0.6154321249682585,3.907767315196993,4.5,2.0
Bars,"American (New), Cocktail Bars, Venues & Event Spaces",25 Lusk,"25 Lusk St San Francisco, CA 94107",0.6486879176654053,,,,,0.6486879176654053,3.981954245679923,4.0,1485.0
Bars,Bar,251 Club,"251 Rhode Island St, San Francisco, CA 94103",,,,,,,,,
Restaurants,"Café, Chinese Restaurant",2546 Cafe,"2546 San Bruno Ave (btwn Felton & Burrows St), San Francisco, CA 94134",0.5419431264597576,0.5419431264597576,7.95520150315478,5.7,16.0,,,,
Bars,"Beer Bar, Restaurant, Sports Bar",25th St Taproom Bar & Restaurant,"2507 Broadway, Oakland, CA 94612",,,,,,,,,
Bars,"Bar, Night Club",26 Mix,"3024 Mission St (at 26th St), San Francisco, CA 94110",,,,,,,,,
"Bars, Restaurants","Cajun / Creole Restaurant, Sports Bar",2nd Half Bar & Lounge,"4307 Telegraph Ave, Oakland, CA 94609",0.6171111446838378,,,,,0.6171111446838378,3.91151286774038,4.0,28.0
Bars,Lounge,2nd Half Sports Lounge,"4307 Telegraph Ave, Oakland, CA 94609",,,,,,,,,
Restaurants,"Hawaiian, Pop-Up Restaurants",2x4 bBox,"55 Stevenson St San Francisco, CA 94105",0.6153127185979408,,,,,0.6153127185979408,3.9075009437959367,5.0,1.0
Restaurants,"Street Food Gathering, Vietnamese Restaurant",3 Bottled Fish,"3251 20th Ave, San Francisco, CA 94132",,,,,,,,,
Restaurants,"Asian Fusion, Food Trucks",3 Brothers Kitchen,"San Jose, CA 95148",0.6252931065221426,,,,,0.6252931065221426,3.9297651656074035,4.0,125.0
Restaurants,"Food Trucks, Mexican",3 Hermanos Mexican Grill,"387 S 1st St San Jose, CA 95113",0.5713181473552572,,,,,0.5713181473552572,3.809357975798446,3.5,106.0
Restaurants,"American (New), Farmers Market",3 Olives and a Pickle,"San Francisco, CA",0.6127234766047598,,,,,0.6127234766047598,3.9017248699100757,3.0,1.0
Restaurants,"Beer, Wine & Spirits, Convenience Stores, Delis",3 Ring Liquors,"501 E 18th St Oakland, CA 94606",0.5959396806980749,,,,,0.5959396806980749,3.864283624365033,3.0,16.0
Restaurants,"Burger Joint, Pizzeria, Sandwich Restaurant",3 Rings Pizza,"501 E 18th St, Oakland, CA 94606",,,,,,,,,
Restaurants,Mexican,343 Sansome Taqueria,"343 Sansome St Ste 150 San Francisco, CA 94111",0.6128503392675599,,,,,0.6128503392675599,3.9020078747878046,3.5,2.0
Bars,"Bar, Restaurant",360 Sports Bar Lounge,"360 Adeline St, Oakland, CA 94607",,,,,,,,,
"Bars, Restaurants","Asian Fusion, Lounges",386 Lounge,"386 S First St San Jose, CA 95113",0.6263721753753424,,,,,0.6263721753753424,3.9321723494242997,5.0,9.0
Bars,"Arts and Entertainment, Karaoke Bar",3910 Geary,"3910 Geary Blvd, San Francisco, CA 94118",,,,,,,,,
Bars,"Karaoke, Lounges, Sports Bars",3910 Lounge,"3910 Geary Blvd San Francisco, CA 94118",0.6184461659463736,,,,,0.6184461659463736,3.9144910294849797,4.0,41.0
Restaurants,"Cafes, Gelato",3Below Cafe,"288 S 2nd St San Jose, CA 95113",0.6153127185979408,,,,,0.6153127185979408,3.9075009437959367,5.0,1.0
Bars,"Bar, Movie Theater",3Below Theaters & Lounge,"288 S 2nd St, San Jose, CA 95113",0.5848162340312838,0.5848162340312838,8.070272516054095,6.1,8.0,,,,
Bars,"American Restaurant, Lounge",3rd & Bourbon,"93 E Santa Clara St, San Jose, CA 95113",0.6325952067319099,,,,,0.6325952067319099,3.946054670584017,4.0,267.0
Restaurants,Mexican Restaurant,4 Caminos Restaurant,"3800 San Leandro St, Oakland, CA 94601",0.5708922070372047,0.5708922070372047,8.032900560051768,6.0,11.0,,,,
Bars,"Hookah Bar, Lounge",40 Thieves San Jose,"18 N 1st St, San Jose, CA 95113",,,,,,,,,
Bars,Dive Bars,400 Club,"400 29th Ave Oakland, CA 94601",0.6073171729422221,,,,,0.6073171729422221,3.88966450263407,3.5,13.0
Restaurants,Dance Clubs,409 Nightclub,"427 Procter St Port Arthur, TX 77640",0.613894249790706,,,,,0.613894249790706,3.9043366274991382,0.0,0.0
"Bars, Restaurants","Cocktail Bar, Gay Bar, Mexican Restaurant",440 Castro,"440 Castro St (btwn Market & 18th), San Francisco, CA 94114",0.48665225431090875,0.42856615643514945,7.650898794086599,7.4,358.0,0.544738352186668,3.750063842160434,3.5,213.0
Restaurants,"Barbeque, Burgers, Sandwiches",4505 Burgers & BBQ - San Francisco,"705 Divisadero St San Francisco, CA 94117",0.4610965069243102,,,,,0.4610965069243102,3.5634758448015598,3.5,1854.0
Restaurants,"BBQ Joint, Burger Joint",4505 Burgers And BBQ,"705 Divisadero St (at Grove St), San Francisco, CA 94117",0.8567249587988518,0.8567249587988518,8.800072946847811,8.9,1132.0,,,,
Restaurants,Burrito Restaurant,48th Burrito Truck,"4806 International Blvd, Oakland, CA 94601",,,,,,,,,
Bars,Sports Bar,4Bells Public House,"984 University Ave (9th), Berkeley, CA 94710",0.6312492461788469,,,,,0.6312492461788469,3.943052105500328,4.5,24.0
Restaurants,Pizzeria,4th St Pizza Co.,"150 E Santa Clara St (at S. 4th St.), San Jose, CA 95113",0.41409847861088117,0.41409847861088117,7.612067684427425,6.7,106.0,,,,
Bars,"Bar, Bowling Alley, Café",4th Street Bowl,"1441 N 4th St (at E Gish Rd), San Jose, CA 95112",0.43888153647468797,0.3627002621108281,7.474115360257496,6.2,95.0,0.5150628108385478,3.6838637264968197,3.5,414.0
Restaurants,Diner,4th Street Bowl Coffee Shop,"1441 N 4th St (btwn Gish Rd. & Archer St.), San Jose, CA 95112",0.6217505353794511,0.6217505353794511,8.169403829541732,8.2,57.0,,,,
Restaurants,Restaurant,4th Street Cafe,"1560 N 4th St, San Jose, CA 95112",,,,,,,,,
Restaurants,"Arts and Entertainment, Restaurant",4zeroEight Tattoo & Body Piercing / Str8 Ink,"809 Lincoln Ave, San Jose, CA 95126",,,,,,,,,
Restaurants,Mexican Restaurant,5 Spot Chivas Grill,"869 S 1st St, San Jose, CA 95110",0.6088677827065807,0.590554374294362,8.085673629937178,6.9,11.0,0.6271811911187996,3.933977099509977,4.0,155.0
"Bars, Restaurants","Dive Bar, Restaurant",500 Club,"500 Guerrero St (at 17th St), San Francisco, CA 94110",0.5538031528110526,0.5538031528110526,7.987033701065306,7.9,350.0,,,,
"Bars, Restaurants","Cocktail Bars, Diners, Italian",54 Mint - Ristorante Italiano,"16 Mint Plz San Francisco, CA 94103",0.6484184630481709,,,,,0.6484184630481709,3.981353147064138,4.0,1426.0
Bars,Bar,540 Rogues,"540 Clement St (7th Ave), San Francisco, CA 94118",0.6250171370827048,,,,,0.6250171370827048,3.929149533744244,5.0,8.0
Bars,"American Restaurant, Cocktail Bar, Lounge",55 South,"55 S 1st St (at Post St.), San Jose, CA 95113",0.5537928312813325,0.46485204335019314,7.748289769403657,7.3,162.0,0.6427336192124717,3.968671413139284,4.0,709.0
Bars,Lounges,5A5 Lounge,"244 Jackson St San Francisco, CA 94111",0.5659987316826861,,,,,0.5659987316826861,3.7974914380104385,3.5,124.0
"Bars, Restaurants","Bars, Steakhouses",5A5 Steak Lounge,"244 Jackson St San Francisco, CA 94111",0.6510503443868257,,,,,0.6510503443868257,3.9872243406840955,4.0,2240.0
Restaurants,"Breakfast & Brunch, Delis, Sandwiches",5th Avenue Deli & Market,"4 Embarcadero Ctr San Francisco, CA 94111",0.659439037635628,,,,,0.659439037635628,4.005937814410581,4.5,71.0
Bars,"American (New), Bars, Venues & Event Spaces",620 Jones,"620 Jones St San Francisco, CA 94102",0.4728530147493433,,,,,0.4728530147493433,3.589702229981444,3.5,1211.0
Bars,Bar,691 Market,"691 Market St (3rd Street), San Francisco, CA 94105",,,,,,,,,
Bars,"Bar, Restaurant",7 / Seven Restaurant & Lounge,"754 the Alameda, San Jose, CA 95126",,,,,,,,,
Bars,"Karaoke, Lounges",7 Bamboo Lounge,"162 Jackson St San Jose, CA 95112",0.6376549002341209,,,,,0.6376549002341209,3.957341820871842,4.0,429.0
Restaurants,"Coffee Shop, Restaurant",7 Leaves Cafe,"1743 Berryessa Rd, San Jose, CA 95133",,,,,,,,,
Restaurants,"Chinese, Vietnamese",7 Mission Restaurant,"150 7th St San Francisco, CA 94103",0.5355237957571126,,,,,0.5355237957571126,3.7295080351316905,3.5,263.0
Restaurants,"Coffee & Tea, Convenience Stores, Fast Food",7-Eleven,"527 Sutter St San Francisco, CA 94102",0.576581089031419,,,,,0.576581089031419,3.8210985315512676,3.0,35.0
Restaurants,"Asian Restaurant, Korean Restaurant",707 Sutter,"707 Sutter St (btwn Jones & Taylor), San Francisco, CA 94109",0.451783890127963,0.25899370521380605,7.195767948035705,6.3,190.0,0.6445740750421199,3.9727770969199847,4.0,868.0
"Bars, Restaurants","American (New), Cocktail Bars, Venues & Event Spaces",71 Saint Peter Restaurant,"71 N San Pedro St San Jose, CA 95110",0.5097798011884562,,,,,0.5097798011884562,3.6720784031631917,3.5,466.0
Bars,"Cocktail Bars, Lounges, Music Venues",721 Lounge,"721 Sutter St San Francisco, CA 94109",0.6278222169538304,,,,,0.6278222169538304,3.9354070981719933,4.5,19.0
Bars,"Arts and Entertainment, Hookah Bar, Restaurant",724Hookah,"724 Geary St (Leavenworth), San Francisco, CA 94109",0.4756131176668124,0.315622342857641,7.347758672802112,5.7,87.0,0.6356038924759838,3.9527664384306975,4.0,354.0
Bars,"Arts and Entertainment, Rooftop Bar",737 Rooftop Bar,"737 2nd St (Brush St), Oakland, CA 94607",,,,,,,,,
Bars,"American (New), Wine Bars",750 Bar & Restaurant,"750 Kearny St Hilton San Francisco Financial District San Francisco, CA 94108",0.5166204483833043,,,,,0.5166204483833043,3.687338500028842,3.0,109.0
Bars,"American Restaurant, Wine Bar",750 Restaurant & Bar,"750 Kearny St (Washington St.), San Francisco, CA 94108",0.46289711923843485,0.46289711923843485,7.743042771683559,5.7,36.0,,,,
Restaurants,"Chinese, Vietnamese",77 Chinese & Vietnamese Cuisine,"77 Battery St San Francisco, CA 94111",0.4709745302340218,,,,,0.4709745302340218,3.585511711913794,3.0,188.0
Bars,Beer Bar,788 Beer Club and Cafe,"788 N King Rd, San Jose, CA 95133",0.6167897496063525,,,,,0.6167897496063525,3.910795900489348,4.0,25.0
Restaurants,"American Restaurant, Café, Coffee Shop",7th Street Cafe,"1612 7th St, Oakland, CA 94607",,,,,,,,,
"Bars, Restaurants","Asian Restaurant, Lounge, Music Venue",7th West,"1255 7th St (Union Street), Oakland, CA 94607",0.6121316841419839,0.5991047360171233,8.108622719467304,7.7,22.0,0.6251586322668444,3.929465180810156,4.0,123.0
Bars,"Asian Restaurant, Bar, Chinese Restaurant",80 90 Friendship Restaurant & Bar,"2428 Clement St, San Francisco, CA 94121",,,,,,,,,
Bars,Lounges,800 Larkin,"800 Larkin St San Francisco, CA 94109",0.6237478909566765,,,,,0.6237478909566765,3.926318102992468,4.0,103.0
"Bars, Restaurants","Cocktail Bar, Restaurant",83 Proof,"83 1st St (btwn Market & Mission), San Francisco, CA 94105",0.5356642369196393,0.4280445017826232,7.649498677961364,7.4,361.0,0.6432839720566553,3.969899138743793,4.0,752.0
Restaurants,"Bakery, Coffee Shop, Restaurant",85C Bakery Caf,"3251 20th Ave, San Francisco, CA 94132",,,,,,,,,
Restaurants,Pizzeria,8Mile Detroit Style Pizza North Oakland / Berkeley,"5333 Adeline St, Oakland, CA 94608",0.6148653992669094,,,,,0.6148653992669094,3.9065030650679478,4.0,8.0
Restaurants,"Chicken Wings, Pizza",8MilePi Detroit Style Pizza,"2353 E 12th St Oakland, CA 94601",0.5708635223841613,,,,,0.5708635223841613,3.808343799668782,3.0,41.0
Restaurants,"Chicken Wings, Pizza, Salad",8MilePi Detroit Style Pizza,"60 Morris St San Francisco, CA 94107",0.6049128765539884,,,,,0.6049128765539884,3.8843010048928313,3.5,18.0
Restaurants,"Chicken Wings, Pizza, Salad",8MilePi Detroit Style Pizza,"949 Ruff Dr San Jose, CA 95110",0.5905662578473465,,,,,0.5905662578473465,3.8522966075131815,3.5,51.0
Restaurants,"Food Stands, Latin American, Salad",9 Julio Empanada Kitchen,"5239 Claremont Ave Ste A Oakland, CA 94618",0.6495179602015637,,,,,0.6495179602015637,3.983805902276674,5.0,27.0
Restaurants,"American Restaurant, Burger Joint",900 Grayson,"900 Grayson St (at 7th St.), Berkeley, CA 94710",0.7105694463344041,0.7700952017058311,8.567559502859998,8.8,310.0,0.651043690962977,3.987209498244553,4.0,2237.0
Restaurants,Cafes,901 Columbus Cafe,"901 Columbus Ave San Francisco, CA 94133",0.6357542170806005,,,,,0.6357542170806005,3.9531017821434196,4.0,359.0
Funeral Homes,Cremation Services,A Atlantis Burial Cremation & Scattering Services,"San Francisco, CA 94102",0.6101342346115787,,,,,0.6101342346115787,3.8959487960242143,1.0,1.0
Restaurants,"Cupcake Shop, Restaurant",A Girl Named Pinky,"2495 Bancroft Way, Berkeley, CA 94720",,,,,,,,,
Restaurants,"Asian Fusion, Food Stands",A Humble Plate,"San Francisco, CA 94102",0.6140180976013503,,,,,0.6140180976013503,3.904612906853006,4.0,1.0
"Bars, Restaurants","Bar, Night Club, Restaurant",A J'S Bar,"393 Lincoln Ave, San Jose, CA 95126",,,,,,,,,
Restaurants,"American Restaurant, Deli, Sandwich Restaurant",A K Meats,"2346 Clement St (btwn 24th & 25th Ave), San Francisco, CA 94121",0.6409380094155951,0.541014921533881,7.952710209963108,6.6,27.0,0.7408610972973092,4.187573920183406,4.5,313.0
Restaurants,"Mediterranean, Turkish",A La Turca,"869 Geary St San Francisco, CA 94109",0.6447622349158888,,,,,0.6447622349158888,3.973196843446615,4.0,887.0
Restaurants,Italian Restaurant,A Mano,"450 Hayes St (Octavia Street), San Francisco, CA 94102",0.7069806347758194,0.765444865463896,8.555078044622125,8.7,482.0,0.6485164040877428,3.9815716336646627,4.0,1447.0
Restaurants,Taiwanese Restaurant,A Sack Of Potatoes,"929 Story Rd, San Jose, CA 95122",,,,,,,,,
Restaurants,Seafood Restaurant,A Tarantino & Sons Poultry & Seafood,"2275 Jennings St, San Francisco, CA 94124",0.6167230178186079,,,,,0.6167230178186079,3.910647035401588,5.0,2.0
Restaurants,Food Stands,A Taste Of Chicago,"345 Williams Ave San Francisco, CA 94124",0.6115594464172105,,,,,0.6115594464172105,3.89912815458321,3.0,2.0
Restaurants,Italian,A Taste Of North Beach,"24 Willie Mays Plz San Francisco, CA 94107",0.6143853857766686,,,,,0.6143853857766686,3.9054322522999088,4.0,4.0
Restaurants,"American Restaurant, Fast Food Restaurant",A&W Restaurant,"2996 Telegraph Ave, Berkeley, CA 94705",,,,,,,,,
Restaurants,Restaurant,A+ Burger,"6228 Telegraph Ave (at 63rd St), Oakland, CA 94609",0.6759196225651627,0.5539613919099776,7.987458413301599,6.2,17.0,0.7978778532203478,4.314766741793325,4.5,765.0
Restaurants,Restaurants,A1 Ocean Cafe,"380 Bush St San Francisco, CA 94104",0.6128503392675599,,,,,0.6128503392675599,3.9020078747878046,3.5,2.0
Restaurants,"Italian, Pizza",A16,"5356 College Ave Oakland, CA 94618",0.4946466232929072,,,,,0.4946466232929072,3.6383193517177204,3.5,664.0
Restaurants,"Italian Restaurant, Pizzeria",A16,"2355 Chestnut St (btwn Divisadero & Scott St), San Francisco, CA 94123",0.5295633251587919,0.601604956056652,8.11533328627051,8.1,509.0,0.4575216942609318,3.5555011625871646,3.5,2170.0
Restaurants,"Italian Restaurant, Pizzeria",A16 Rockridge,"5356 College Ave (btwn Bryant & Manila), Oakland, CA 94618",0.6253546407827153,0.6253546407827153,8.179077214160694,8.2,165.0,,,,
Bars,"Arts and Entertainment, Bar",AAANCNU Club,"3400 Ettie St, Emeryville, CA 94608",,,,,,,,,
Restaurants,Fried Chicken Joint,ABC Chicken,"2891 San Bruno Ave, San Francisco, CA 94134",0.617427414605372,,,,,0.617427414605372,3.912218401807674,4.0,31.0
Bars,"Cocktail Bars, Mexican",ABVE The Basics,"1 E San Fernando St San Jose, CA 95113",0.7214854128962598,,,,,0.7214854128962598,4.144350696944973,4.5,233.0
Bars,"American Restaurant, Bar, Tapas Restaurant",AC Lounge,"350 W Santa Clara St, San Jose, CA 95113",0.604713661451114,,,,,0.604713661451114,3.8838565963916514,3.0,8.0
Restaurants,American (Traditional),AFICI,"680 Folsom St San Francisco, CA 94107",0.6371895847692034,,,,,0.6371895847692034,3.9563037964180925,4.5,33.0
Restaurants,"Coffee & Tea, Sandwiches",AIDS Health Alliance Cafe,"200 McAllister St San Francisco, CA 94102",0.6127234766047598,,,,,0.6127234766047598,3.9017248699100757,3.0,1.0
Restaurants,American (New),AJ's Bar and Grill,"1471 N 4th St Radisson San Jose, CA 95112",0.6049076459450888,,,,,0.6049076459450888,3.8842893364649473,2.5,5.0
Restaurants,Restaurant,AJI Bar & Robata,"170 S Market St, San Jose, CA 95113",0.6160191833116376,,,,,0.6160191833116376,3.9090769233277123,4.0,18.0
Restaurants,Restaurant,AK Subs,"397 8th St, San Francisco, CA 94103",0.718334455173663,0.669394631732455,8.297280130947367,8.5,120.0,0.767274278614871,4.246496372102801,4.5,466.0
Restaurants,American (Traditional),AT&T Park Bratwurst Cart,"24 Willie Mays Plz Behind Sections 134 and 107 San Francisco, CA 94107",0.6177060073488222,,,,,0.6177060073488222,3.9128398857301776,4.5,5.0
Restaurants,"American (New), Breakfast & Brunch, Seafood",ATwater Tavern,"295 Terry A Francois Blvd San Francisco, CA 94158",0.5116297271872594,,,,,0.5116297271872594,3.6762052129710825,3.5,447.0
Bars,Lounge,AU Lounge,"2430 Broadway, Oakland, CA 94612",0.5971215374969043,0.5971215374969043,8.103299833503852,7.0,9.0,,,,
Bars,Lounge,AVA 55 Ninth Lounge,"55 9th St (Market St), San Francisco, CA 94103",,,,,,,,,
Restaurants,Indian Restaurant,Aaha Indian Cuisine,"3316 17th St (Mission), San Francisco, CA 94110",0.6715123800070947,,,,,0.6715123800070947,4.032870993221425,4.5,95.0
Restaurants,Filipino Restaurant,Abac,"2700 Jones St, San Francisco, CA 94133",0.6283152492136537,0.6212407085474727,8.168035459174337,8.2,47.0,0.6353897898798345,3.9522888189506453,4.0,347.0
Bars,"Bar, Deli",Abba's Hummus,"3417 Lakeshore Ave, Oakland, CA 94610",0.6446838300962733,,,,,0.6446838300962733,3.9730219381916023,4.5,45.0
"Bars, Restaurants","Restaurant, Sports Bar",Abbey Tavern,"4100 Geary Blvd (at 5th Avenue), San Francisco, CA 94118",0.40159891264114045,0.40159891264114045,7.578518968264495,6.0,65.0,,,,
Restaurants,"Cafes, Sandwiches",Abe's Cafe,"1842 Euclid Ave Berkeley, CA 94709",0.6770685264842463,,,,,0.6770685264842463,4.045265629434345,4.5,107.0
Restaurants,Pizza,Abes Pizza,"940 Market St San Francisco, CA 94102",0.6198790839660252,,,,,0.6198790839660252,3.917687579044923,4.0,56.0
Restaurants,"African Restaurant, Ethiopian Restaurant",Abesha Ethiopian Cuisine,"4929 Shattuck Ave, Oakland, CA 94609",0.6120347112912876,0.5959155336925521,8.100062930764864,7.6,21.0,0.6281538888900231,3.9361469910110407,4.0,172.0
Bars,Cocktail Bar,Abhay's Roof Party,"1815 Powell St (Filbert), San Francisco, CA 94133",,,,,,,,,
Restaurants,"American (New), Seafood, Spanish",Abrazo,"2000 Hyde St San Francisco, CA 94109",0.6966275266427422,,,,,0.6966275266427422,4.0888977929580985,4.5,155.0
Bars,"Beer Bar, Cocktail Bars, French",Absinthe Brasserie & Bar,"398 Hayes St San Francisco, CA 94102",0.6528283417560224,,,,,0.6528283417560224,3.991190692303756,4.0,3404.0
Restaurants,"American Restaurant, Tapas Restaurant",Abstract Table,"2085 Vine St, Berkeley, CA 94709",0.6204226960228506,,,,,0.6204226960228506,3.9189002673196143,4.0,62.0
Restaurants,"Arabic, Falafel, Halal",Abu Salim Middle Eastern Grill,"1599 Haight St San Francisco, CA 94117",0.7268151382110271,,,,,0.7268151382110271,4.156240233454312,4.5,253.0
Restaurants,Japanese Restaurant,Aburaya Japanese Fried Chicken,"362 17th St (btwn Franklin and Webster St), Oakland, CA 94612",0.6960964425900237,0.7474111809520108,8.506675806934378,8.8,209.0,0.6447817042280366,3.9732402755343723,4.0,889.0
"Bars, Restaurants","American Restaurant, Cocktail Bar, Gastropub",Abv,"3174 16th St (btwn Guerrero & Albion St), San Francisco, CA 94103",0.7620959014336934,0.8821280890569086,8.868254706817766,9.0,950.0,0.6420637138104783,3.967176990019065,4.0,661.0
Restaurants,"Bakeries, Ethiopian, Herbs & Spices",Abyssinia Market,"2525 Telegraph Ave Ste A Oakland, CA 94612",0.6149837089012322,,,,,0.6149837089012322,3.9067669898733763,4.0,9.0
Bars,"American Restaurant, Pizzeria, Wine Bar",Academy Bar & Kitchen,"1800 Fillmore St (Sutter Street), San Francisco, CA 94115",0.48683278186291734,0.41415546599108366,7.612220638013806,5.0,37.0,0.559510097734751,3.7830166113235997,3.5,148.0
